Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
8.60164E+13,9/1/2005,86,164,25,TEAM
1.28065E+14,9/1/2005,128,648,113,TEAM
2.04014E+14,9/1/2005,204,140,97,TEAM
2.95075E+14,9/1/2005,295,754,138,TEAM
4.28072E+14,9/1/2005,428,719,105,TEAM
5.0805E+14,9/1/2005,508,498,57,TEAM
5.29029E+14,9/1/2005,529,288,126,TEAM
6.90003E+14,9/1/2005,690,28,10,TEAM
7.36075E+14,9/1/2005,736,749,83,TEAM
7.71071E+14,9/1/2005,771,709,102,TEAM
7.86039E+14,9/1/2005,786,388,142,TEAM
2.90732E+13,9/2/2005,29,732,135,TEAM
3.06013E+14,9/2/2005,306,129,70,TEAM
9.06942E+12,9/3/2005,9,694,114,TEAM
4.70312E+13,9/3/2005,47,312,41,TEAM
5.10663E+13,9/3/2005,51,663,122,TEAM
6.60257E+13,9/3/2005,66,257,36,TEAM
6.70077E+13,9/3/2005,67,77,134,TEAM
7.10796E+13,9/3/2005,71,796,141,TEAM
9.00716E+13,9/3/2005,90,716,4,TEAM
1.02011E+14,9/3/2005,102,107,12,TEAM
1.10063E+14,9/3/2005,110,626,16,TEAM
1.56016E+14,9/3/2005,156,157,20,TEAM
1.9302E+14,9/3/2005,193,196,81,TEAM
2.07063E+14,9/3/2005,207,630,18,TEAM
2.29033E+14,9/3/2005,229,328,51,TEAM
2.31033E+14,9/3/2005,231,327,52,TEAM
2.55004E+14,9/3/2005,255,37,1,TEAM
2.99031E+14,9/3/2005,299,311,40,TEAM
3.31042E+14,9/3/2005,331,416,68,TEAM
3.80046E+14,9/3/2005,380,463,84,TEAM
3.92073E+14,9/3/2005,392,726,63,NEUTRAL
4.14052E+14,9/3/2005,414,518,99,TEAM
4.19001E+14,9/3/2005,419,8,5,TEAM
4.34003E+14,9/3/2005,434,30,74,TEAM
4.40052E+14,9/3/2005,440,521,104,TEAM
4.54043E+14,9/3/2005,454,430,77,TEAM
5.03042E+14,9/3/2005,503,418,66,TEAM
5.13055E+14,9/3/2005,513,545,110,TEAM
5.19051E+14,9/3/2005,519,509,46,TEAM
5.50053E+14,9/3/2005,550,528,107,TEAM
5.8703E+14,9/3/2005,587,301,44,TEAM
6.51054E+14,9/3/2005,651,539,111,TEAM
6.57028E+14,9/3/2005,657,277,39,TEAM
6.69003E+14,9/3/2005,669,31,6,TEAM
6.7107E+14,9/3/2005,671,703,119,TEAM
6.97015E+14,9/3/2005,697,147,112,TEAM
6.98052E+14,9/3/2005,698,522,103,TEAM
7.04047E+14,9/3/2005,704,472,88,TEAM
7.56072E+14,9/3/2005,756,721,140,NEUTRAL
7.74075E+14,9/3/2005,774,746,137,TEAM
8.11024E+14,9/3/2005,811,235,27,TEAM
3.67033E+14,9/4/2005,367,334,53,TEAM
7.42049E+14,9/4/2005,742,490,82,TEAM
7.68069E+14,9/4/2005,768,688,92,TEAM
4.15023E+14,9/5/2005,415,234,33,TEAM
4.3304E+14,9/5/2005,433,404,115,TEAM
4.65047E+14,9/5/2005,465,473,87,TEAM
5.21023E+14,9/8/2005,521,229,30,TEAM
5.45052E+14,9/9/2005,545,519,95,TEAM
7.54047E+14,9/9/2005,754,466,90,TEAM
5.05592E+12,9/10/2005,5,559,50,TEAM
9.07162E+12,9/10/2005,9,716,4,TEAM
2.70328E+13,9/10/2005,27,328,51,TEAM
6.60528E+13,9/10/2005,66,528,107,TEAM
7.10047E+13,9/10/2005,71,47,48,TEAM
8.60688E+13,9/10/2005,86,688,92,TEAM
1.07076E+14,9/10/2005,107,756,139,TEAM
1.29041E+14,9/10/2005,129,414,101,TEAM
1.40054E+14,9/10/2005,140,539,111,TEAM
1.41023E+14,9/10/2005,141,234,33,TEAM
1.47039E+14,9/10/2005,147,392,64,TEAM
1.56043E+14,9/10/2005,156,428,72,TEAM
2.01008E+14,9/10/2005,201,77,134,TEAM
2.28065E+14,9/10/2005,228,651,35,TEAM
2.3107E+14,9/10/2005,231,700,129,TEAM
2.77042E+14,9/10/2005,277,416,68,TEAM
2.94033E+14,9/10/2005,294,334,53,TEAM
2.95047E+14,9/10/2005,295,465,89,TEAM
3.12031E+14,9/10/2005,312,311,40,TEAM
3.27039E+14,9/10/2005,327,388,142,TEAM
3.55016E+14,9/10/2005,355,164,25,TEAM
3.65003E+14,9/10/2005,365,28,10,TEAM
3.66024E+14,9/10/2005,366,235,27,TEAM
4.30004E+14,9/10/2005,430,37,1,TEAM
4.41053E+14,9/10/2005,441,529,108,TEAM
4.57026E+14,9/10/2005,457,255,37,TEAM
4.72016E+14,9/10/2005,472,157,20,TEAM
4.73043E+14,9/10/2005,473,434,73,TEAM
4.83031E+14,9/10/2005,483,306,47,TEAM
4.97042E+14,9/10/2005,497,419,116,TEAM
4.98081E+14,9/10/2005,498,811,144,TEAM
5.01003E+14,9/10/2005,501,29,11,TEAM
5.03051E+14,9/10/2005,503,509,46,TEAM
5.13042E+14,9/10/2005,513,418,66,TEAM
5.74011E+14,9/10/2005,574,110,15,TEAM
6.24029E+14,9/10/2005,624,288,126,TEAM
6.25005E+14,9/10/2005,625,51,132,TEAM
6.26072E+14,9/10/2005,626,721,21,TEAM
6.3003E+14,9/10/2005,630,301,44,TEAM
6.48026E+14,9/10/2005,648,257,36,TEAM
6.54033E+14,9/10/2005,654,331,100,TEAM
6.64001E+14,9/10/2005,664,8,5,TEAM
6.7102E+14,9/10/2005,671,204,71,TEAM
6.74073E+14,9/10/2005,674,726,62,TEAM
6.9008E+14,9/10/2005,690,796,141,TEAM
6.95003E+14,9/10/2005,695,30,7,TEAM
6.98066E+14,9/10/2005,698,663,122,TEAM
7.03052E+14,9/10/2005,703,518,99,TEAM
7.19052E+14,9/10/2005,719,522,103,TEAM
7.25007E+14,9/10/2005,725,67,61,TEAM
7.31073E+14,9/10/2005,731,732,135,TEAM
7.36003E+14,9/10/2005,736,31,6,TEAM
7.39059E+14,9/10/2005,739,587,86,TEAM
7.42019E+14,9/10/2005,742,193,80,TEAM
7.49046E+14,9/10/2005,749,463,84,TEAM
7.5801E+14,9/10/2005,758,96,13,TEAM
7.74071E+14,9/10/2005,774,709,102,TEAM
2.91508E+15,9/10/2005,2915,768,143,TEAM
7.3207E+14,9/15/2005,732,698,125,TEAM
2.8807E+14,9/16/2005,288,704,124,TEAM
5.04192E+12,9/17/2005,5,419,116,TEAM
8.06482E+12,9/17/2005,8,648,113,TEAM
3.00521E+13,9/17/2005,30,521,104,TEAM
3.10657E+13,9/17/2005,31,657,14,TEAM
4.70037E+13,9/17/2005,47,37,1,TEAM
5.10725E+13,9/17/2005,51,725,93,TEAM
9.60529E+13,9/17/2005,96,529,108,TEAM
1.08067E+14,9/17/2005,108,674,19,TEAM
1.28065E+14,9/17/2005,128,651,35,TEAM
1.29054E+14,9/17/2005,129,539,111,TEAM
1.64026E+14,9/17/2005,164,255,37,TEAM
1.96075E+14,9/17/2005,196,749,83,TEAM
2.02049E+14,9/17/2005,202,490,82,TEAM
2.04042E+14,9/17/2005,204,418,66,TEAM
2.29043E+14,9/17/2005,229,428,72,TEAM
2.34007E+14,9/17/2005,234,67,61,TEAM
2.61075E+14,9/17/2005,261,754,140,NEUTRAL
2.95076E+14,9/17/2005,295,756,139,TEAM
3.01011E+14,9/17/2005,301,107,12,TEAM
3.15001E+14,9/17/2005,315,9,2,TEAM
3.34031E+14,9/17/2005,334,306,47,TEAM
3.66033E+14,9/17/2005,366,328,51,TEAM
4.02066E+14,9/17/2005,402,664,75,TEAM
4.14033E+14,9/17/2005,414,331,100,TEAM
4.15015E+14,9/17/2005,415,147,112,TEAM
4.16051E+14,9/17/2005,416,513,49,TEAM
4.30072E+14,9/17/2005,430,718,60,TEAM
4.33074E+14,9/17/2005,433,736,117,TEAM
4.65047E+14,9/17/2005,465,466,90,TEAM
4.72047E+14,9/17/2005,472,473,87,TEAM
4.98026E+14,9/17/2005,498,257,36,TEAM
5.04031E+14,9/17/2005,504,312,41,TEAM
5.08067E+14,9/17/2005,508,671,56,TEAM
5.09003E+14,9/17/2005,509,28,10,TEAM
5.19074E+14,9/17/2005,519,742,136,TEAM
5.22011E+14,9/17/2005,522,110,15,TEAM
5.28037E+14,9/17/2005,528,367,54,TEAM
5.45046E+14,9/17/2005,545,463,84,TEAM
5.59003E+14,9/17/2005,559,29,11,TEAM
5.7407E+14,9/17/2005,574,703,119,TEAM
5.87009E+14,9/17/2005,587,86,91,TEAM
6.2407E+14,9/17/2005,624,700,129,TEAM
6.26052E+14,9/17/2005,626,518,99,TEAM
6.59077E+14,9/17/2005,659,774,69,TEAM
6.6307E+14,9/17/2005,663,697,120,TEAM
6.9205E+14,9/17/2005,692,503,45,TEAM
6.9304E+14,9/17/2005,693,404,115,TEAM
6.94024E+14,9/17/2005,694,235,27,TEAM
7.09069E+14,9/17/2005,709,690,109,TEAM
7.16043E+14,9/17/2005,716,434,73,TEAM
7.1905E+14,9/17/2005,719,497,123,TEAM
7.41019E+14,9/17/2005,741,193,80,TEAM
7.46069E+14,9/17/2005,746,688,92,TEAM
7.68039E+14,9/17/2005,768,392,64,TEAM
7.69014E+14,9/17/2005,769,140,97,TEAM
7.96046E+14,9/17/2005,796,457,78,TEAM
8.11072E+14,9/17/2005,811,721,21,TEAM
7.10066E+13,9/21/2005,71,66,42,TEAM
4.98023E+14,9/22/2005,498,229,26,TEAM
6.7007E+14,9/22/2005,670,697,120,TEAM
7.21073E+14,9/22/2005,721,732,135,TEAM
1.07047E+14,9/23/2005,107,472,88,TEAM
3.11073E+14,9/23/2005,311,725,93,TEAM
2.80528E+13,9/24/2005,28,528,107,TEAM
3.10008E+13,9/24/2005,31,8,5,TEAM
6.70147E+13,9/24/2005,67,147,112,TEAM
1.57042E+14,9/24/2005,157,415,29,TEAM
1.93075E+14,9/24/2005,193,746,137,TEAM
1.96077E+14,9/24/2005,196,768,143,TEAM
2.04013E+14,9/24/2005,204,129,70,TEAM
2.31003E+14,9/24/2005,231,30,7,TEAM
2.35033E+14,9/24/2005,235,334,53,TEAM
2.55074E+14,9/24/2005,255,742,136,TEAM
2.57043E+14,9/24/2005,257,430,77,TEAM
2.7703E+14,9/24/2005,277,295,43,TEAM
3.0507E+14,9/24/2005,305,700,129,TEAM
3.12052E+14,9/24/2005,312,518,99,TEAM
3.31052E+14,9/24/2005,331,519,95,TEAM
3.67065E+14,9/24/2005,367,651,35,TEAM
3.88013E+14,9/24/2005,388,128,32,TEAM
3.92075E+14,9/24/2005,392,749,83,TEAM
4.04072E+14,9/24/2005,404,719,105,TEAM
4.1603E+14,9/24/2005,416,301,44,TEAM
4.1808E+14,9/24/2005,418,796,141,TEAM
4.57049E+14,9/24/2005,457,490,82,TEAM
4.65073E+14,9/24/2005,465,731,133,TEAM
4.66016E+14,9/24/2005,466,156,23,TEAM
4.7307E+14,9/24/2005,473,704,124,TEAM
4.97033E+14,9/24/2005,497,327,52,TEAM
5.03001E+14,9/24/2005,503,5,94,TEAM
5.13076E+14,9/24/2005,513,756,139,TEAM
5.39051E+14,9/24/2005,539,509,46,TEAM
5.59043E+14,9/24/2005,559,428,72,TEAM
5.75074E+14,9/24/2005,575,736,117,TEAM
6.30063E+14,9/24/2005,630,626,16,TEAM
6.57053E+14,9/24/2005,657,529,108,TEAM
6.98008E+14,9/24/2005,698,77,134,TEAM
7.16065E+14,9/24/2005,716,648,113,TEAM
7.18066E+14,9/24/2005,718,663,122,TEAM
7.72004E+14,9/24/2005,772,37,1,TEAM
7.74069E+14,9/24/2005,774,690,109,TEAM
8.11043E+14,9/24/2005,811,433,76,TEAM
8.17055E+14,9/24/2005,817,545,110,TEAM
6.94037E+14,9/26/2005,694,365,55,TEAM
7.0901E+14,9/27/2005,709,96,13,TEAM
1.40041E+14,9/28/2005,140,414,101,TEAM
7.21016E+14,9/29/2005,721,156,23,TEAM
5.45059E+14,9/30/2005,545,587,86,TEAM
2.90107E+13,10/1/2005,29,107,12,TEAM
3.00498E+13,10/1/2005,30,498,57,TEAM
4.70067E+13,10/1/2005,47,67,61,TEAM
5.10697E+13,10/1/2005,51,697,120,TEAM
6.60277E+13,10/1/2005,66,277,39,TEAM
7.70626E+13,10/1/2005,77,626,16,TEAM
8.60774E+13,10/1/2005,86,774,69,TEAM
1.28067E+14,10/1/2005,128,671,56,TEAM
1.29001E+14,10/1/2005,129,5,94,TEAM
1.47075E+14,10/1/2005,147,749,83,TEAM
1.57052E+14,10/1/2005,157,521,104,TEAM
1.64073E+14,10/1/2005,164,725,93,TEAM
2.28023E+14,10/1/2005,228,231,31,TEAM
2.29037E+14,10/1/2005,229,367,54,TEAM
2.35001E+14,10/1/2005,235,8,5,TEAM
2.88072E+14,10/1/2005,288,719,105,TEAM
3.01031E+14,10/1/2005,301,312,41,TEAM
3.0608E+14,10/1/2005,306,796,141,TEAM
3.11046E+14,10/1/2005,311,463,84,TEAM
3.27052E+14,10/1/2005,327,522,103,TEAM
3.2807E+14,10/1/2005,328,700,129,TEAM
3.3102E+14,10/1/2005,331,204,71,TEAM
3.65043E+14,10/1/2005,365,430,77,TEAM
4.18042E+14,10/1/2005,418,416,68,TEAM
4.19074E+14,10/1/2005,419,736,117,TEAM
4.28054E+14,10/1/2005,428,539,111,TEAM
4.33069E+14,10/1/2005,433,694,114,TEAM
4.65081E+14,10/1/2005,465,811,144,TEAM
4.66063E+14,10/1/2005,466,630,18,TEAM
4.72037E+14,10/1/2005,472,366,59,TEAM
4.7307E+14,10/1/2005,473,698,125,TEAM
5.13056E+14,10/1/2005,513,559,50,TEAM
5.29067E+14,10/1/2005,529,674,19,TEAM
5.74001E+14,10/1/2005,574,9,2,TEAM
6.48004E+14,10/1/2005,648,37,1,TEAM
6.51042E+14,10/1/2005,651,415,29,TEAM
6.55072E+14,10/1/2005,655,718,55,TEAM
6.57003E+14,10/1/2005,657,28,10,TEAM
6.63039E+14,10/1/2005,663,388,142,TEAM
6.6402E+14,10/1/2005,664,196,81,TEAM
6.88023E+14,10/1/2005,688,234,33,TEAM
6.90007E+14,10/1/2005,690,71,96,TEAM
7.03043E+14,10/1/2005,703,434,73,TEAM
7.0404E+14,10/1/2005,704,404,115,TEAM
7.26019E+14,10/1/2005,726,193,80,TEAM
7.3103E+14,10/1/2005,731,295,43,TEAM
7.32046E+14,10/1/2005,732,457,78,TEAM
7.42077E+14,10/1/2005,742,768,143,TEAM
7.46039E+14,10/1/2005,746,392,64,TEAM
7.54053E+14,10/1/2005,754,528,107,TEAM
7.56011E+14,10/1/2005,756,110,15,TEAM
7.1605E+14,10/4/2005,716,497,123,TEAM
4.1405E+14,10/5/2005,414,503,45,TEAM
2.29067E+14,10/6/2005,229,671,56,TEAM
4.90026E+14,10/6/2005,490,255,37,TEAM
6.88016E+14,10/7/2005,688,164,25,TEAM
5.00862E+12,10/8/2005,5,86,91,TEAM
2.90657E+13,10/8/2005,29,657,14,TEAM
4.70774E+13,10/8/2005,47,774,69,TEAM
5.10311E+13,10/8/2005,51,311,40,TEAM
7.70473E+13,10/8/2005,77,473,87,TEAM
9.60472E+13,10/8/2005,96,472,88,TEAM
1.07011E+14,10/8/2005,107,110,15,TEAM
1.29073E+14,10/8/2005,129,725,93,TEAM
1.40055E+14,10/8/2005,140,545,110,TEAM
1.41043E+14,10/8/2005,141,433,76,TEAM
1.93042E+14,10/8/2005,193,415,29,TEAM
2.04071E+14,10/8/2005,204,709,102,TEAM
2.57069E+14,10/8/2005,257,694,114,TEAM
2.77037E+14,10/8/2005,277,366,59,TEAM
2.88072E+14,10/8/2005,288,718,56,TEAM
2.95047E+14,10/8/2005,295,466,90,TEAM
3.01031E+14,10/8/2005,301,306,47,TEAM
3.12056E+14,10/8/2005,312,559,50,TEAM
3.28033E+14,10/8/2005,328,327,52,TEAM
3.34065E+14,10/8/2005,334,648,113,TEAM
3.65074E+14,10/8/2005,365,736,117,TEAM
3.88074E+14,10/8/2005,388,742,136,TEAM
3.92069E+14,10/8/2005,392,690,109,TEAM
4.04013E+14,10/8/2005,404,128,32,TEAM
4.28042E+14,10/8/2005,428,418,66,TEAM
4.30024E+14,10/8/2005,430,235,27,TEAM
4.34052E+14,10/8/2005,434,521,104,TEAM
4.57037E+14,10/8/2005,457,367,54,TEAM
4.98003E+14,10/8/2005,498,31,8,TEAM
5.18054E+14,10/8/2005,518,539,111,TEAM
5.19007E+14,10/8/2005,519,71,96,TEAM
5.2207E+14,10/8/2005,522,703,121,NEUTRAL
5.29003E+14,10/8/2005,529,28,10,TEAM
5.50007E+14,10/8/2005,550,66,42,TEAM
5.7402E+14,10/8/2005,574,196,81,TEAM
6.26047E+14,10/8/2005,626,465,89,TEAM
6.30073E+14,10/8/2005,630,731,133,TEAM
6.63001E+14,10/8/2005,663,9,2,TEAM
6.74075E+14,10/8/2005,674,754,138,TEAM
6.97016E+14,10/8/2005,697,157,20,TEAM
6.98081E+14,10/8/2005,698,811,144,TEAM
7.00046E+14,10/8/2005,700,463,84,TEAM
7.19066E+14,10/8/2005,719,664,75,TEAM
7.21073E+14,10/8/2005,721,726,62,TEAM
7.32016E+14,10/8/2005,732,156,23,TEAM
7.46007E+14,10/8/2005,746,67,61,TEAM
7.49023E+14,10/8/2005,749,234,33,TEAM
7.68059E+14,10/8/2005,768,587,86,TEAM
7.96051E+14,10/8/2005,796,509,46,TEAM
1.47049E+14,10/13/2005,147,490,82,TEAM
6.71003E+14,10/13/2005,671,30,7,TEAM
7.04072E+14,10/14/2005,704,718,59,TEAM
5.04142E+12,10/15/2005,5,414,101,TEAM
8.04332E+12,10/15/2005,8,433,76,TEAM
9.03882E+12,10/15/2005,9,388,142,TEAM
3.70031E+13,10/15/2005,37,31,6,TEAM
7.10086E+13,10/15/2005,71,86,91,TEAM
1.10075E+14,10/15/2005,110,754,138,TEAM
1.28066E+14,10/15/2005,128,664,75,TEAM
1.56008E+14,10/15/2005,156,77,134,TEAM
1.5707E+14,10/15/2005,157,703,119,TEAM
1.64014E+14,10/15/2005,164,140,97,TEAM
1.96066E+14,10/15/2005,196,663,122,TEAM
2.0405E+14,10/15/2005,204,503,45,TEAM
2.34075E+14,10/15/2005,234,746,137,TEAM
2.35037E+14,10/15/2005,235,365,55,TEAM
2.55019E+14,10/15/2005,255,193,80,TEAM
2.57074E+14,10/15/2005,257,736,117,TEAM
3.06031E+14,10/15/2005,306,312,41,TEAM
3.11043E+14,10/15/2005,311,434,73,TEAM
3.2707E+14,10/15/2005,327,700,129,TEAM
3.31073E+14,10/15/2005,331,726,62,TEAM
3.66047E+14,10/15/2005,366,466,90,TEAM
3.67077E+14,10/15/2005,367,768,143,TEAM
4.04029E+14,10/15/2005,404,288,126,TEAM
4.15069E+14,10/15/2005,415,690,109,TEAM
4.16052E+14,10/15/2005,416,518,99,TEAM
4.19023E+14,10/15/2005,419,229,26,TEAM
